MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] EvoJAX MultiAgentWaterWorld
MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] ==============================
MultiAgentWaterWorld: 2022-02-18 20:14:18,123 [INFO] Start to train for 2000 iterations.
MultiAgentWaterWorld: 2022-02-18 20:25:00,301 [INFO] Iter=1070, size=16, max=1.5781, avg=1.2520, min=0.7969, std=0.2393
MultiAgentWaterWorld: 2022-02-18 20:25:05,393 [INFO] Iter=1080, size=16, max=1.6406, avg=1.1748, min=0.7500, std=0.2643
MultiAgentWaterWorld: 2022-02-18 20:25:10,484 [INFO] Iter=1090, size=16, max=1.6094, avg=1.2051, min=0.6719, std=0.2847
MultiAgentWaterWorld: 2022-02-18 20:25:15,581 [INFO] Iter=1100, size=16, max=1.6562, avg=1.2246, min=0.7188, std=0.2964
MultiAgentWaterWorld: 2022-02-18 20:25:16,175 [INFO] [TEST] Iter=1100, #tests=100, max=2.1875 avg=1.2331, min=0.4375, std=0.3840
MultiAgentWaterWorld: 2022-02-18 20:25:21,263 [INFO] Iter=1110, size=16, max=2.0312, avg=1.2793, min=0.6250, std=0.3086
MultiAgentWaterWorld: 2022-02-18 20:25:26,355 [INFO] Iter=1120, size=16, max=1.6406, avg=1.2764, min=0.8906, std=0.1937
MultiAgentWaterWorld: 2022-02-18 20:25:31,435 [INFO] Iter=1130, size=16, max=1.8438, avg=1.2627, min=0.9062, std=0.2395
MultiAgentWaterWorld: 2022-02-18 20:25:36,491 [INFO] Iter=1140, size=16, max=1.5938, avg=1.2852, min=0.8281, std=0.2198
MultiAgentWaterWorld: 2022-02-18 20:25:41,573 [INFO] Iter=1150, size=16, max=1.5469, avg=1.1816, min=0.6875, std=0.2109
MultiAgentWaterWorld: 2022-02-18 20:25:46,656 [INFO] Iter=1160, size=16, max=1.7969, avg=1.2256, min=0.5312, std=0.3140
MultiAgentWaterWorld: 2022-02-18 20:25:51,748 [INFO] Iter=1170, size=16, max=1.8125, avg=1.2129, min=0.6562, std=0.2844
MultiAgentWaterWorld: 2022-02-18 20:25:56,839 [INFO] Iter=1180, size=16, max=1.3906, avg=1.1621, min=0.4062, std=0.2426
MultiAgentWaterWorld: 2022-02-18 20:26:01,915 [INFO] Iter=1190, size=16, max=1.7344, avg=1.3564, min=0.8438, std=0.2537
MultiAgentWaterWorld: 2022-02-18 20:26:06,997 [INFO] Iter=1200, size=16, max=1.8750, avg=1.3652, min=0.7344, std=0.3191
MultiAgentWaterWorld: 2022-02-18 20:26:07,591 [INFO] [TEST] Iter=1200, #tests=100, max=2.2500 avg=1.1850, min=0.0625, std=0.4677
MultiAgentWaterWorld: 2022-02-18 20:26:12,685 [INFO] Iter=1210, size=16, max=1.8125, avg=1.3271, min=0.7812, std=0.2778
MultiAgentWaterWorld: 2022-02-18 20:26:17,775 [INFO] Iter=1220, size=16, max=1.6094, avg=1.2998, min=0.8125, std=0.2464
MultiAgentWaterWorld: 2022-02-18 20:26:22,848 [INFO] Iter=1230, size=16, max=1.8750, avg=1.3203, min=0.8438, std=0.3041
MultiAgentWaterWorld: 2022-02-18 20:26:27,931 [INFO] Iter=1240, size=16, max=1.6094, avg=1.2158, min=0.8594, std=0.1940
MultiAgentWaterWorld: 2022-02-18 20:26:33,021 [INFO] Iter=1250, size=16, max=1.5781, avg=1.3076, min=0.7188, std=0.2163
MultiAgentWaterWorld: 2022-02-18 20:26:38,114 [INFO] Iter=1260, size=16, max=1.6250, avg=1.3047, min=1.0781, std=0.1746
MultiAgentWaterWorld: 2022-02-18 20:26:43,187 [INFO] Iter=1270, size=16, max=1.9688, avg=1.3564, min=0.8906, std=0.3234
MultiAgentWaterWorld: 2022-02-18 20:26:48,251 [INFO] Iter=1280, size=16, max=1.6562, avg=1.2891, min=0.6875, std=0.2803
MultiAgentWaterWorld: 2022-02-18 20:26:53,325 [INFO] Iter=1290, size=16, max=1.7812, avg=1.3428, min=1.0000, std=0.2515
MultiAgentWaterWorld: 2022-02-18 20:26:58,407 [INFO] Iter=1300, size=16, max=1.8125, avg=1.3721, min=1.0156, std=0.2349
MultiAgentWaterWorld: 2022-02-18 20:26:59,001 [INFO] [TEST] Iter=1300, #tests=100, max=2.6875 avg=1.3950, min=0.2500, std=0.4741
MultiAgentWaterWorld: 2022-02-18 20:27:04,097 [INFO] Iter=1310, size=16, max=1.7500, avg=1.2305, min=0.6562, std=0.2640
MultiAgentWaterWorld: 2022-02-18 20:27:09,172 [INFO] Iter=1320, size=16, max=2.1094, avg=1.4385, min=1.1094, std=0.2759
MultiAgentWaterWorld: 2022-02-18 20:27:14,273 [INFO] Iter=1330, size=16, max=1.8281, avg=1.3643, min=0.4062, std=0.3576
MultiAgentWaterWorld: 2022-02-18 20:27:19,364 [INFO] Iter=1340, size=16, max=1.5469, avg=1.1143, min=0.6406, std=0.2714
MultiAgentWaterWorld: 2022-02-18 20:27:24,456 [INFO] Iter=1350, size=16, max=1.6406, avg=1.2471, min=0.6562, std=0.2806
MultiAgentWaterWorld: 2022-02-18 20:27:29,557 [INFO] Iter=1360, size=16, max=1.7656, avg=1.4717, min=1.2969, std=0.1167
MultiAgentWaterWorld: 2022-02-18 20:27:34,631 [INFO] Iter=1370, size=16, max=2.0000, avg=1.3730, min=0.7188, std=0.3846
MultiAgentWaterWorld: 2022-02-18 20:27:39,713 [INFO] Iter=1380, size=16, max=1.9219, avg=1.4707, min=0.9062, std=0.2632
MultiAgentWaterWorld: 2022-02-18 20:27:44,798 [INFO] Iter=1390, size=16, max=1.9219, avg=1.3770, min=0.6719, std=0.2789
MultiAgentWaterWorld: 2022-02-18 20:27:49,863 [INFO] Iter=1400, size=16, max=1.8281, avg=1.4219, min=0.9688, std=0.2288
MultiAgentWaterWorld: 2022-02-18 20:27:50,457 [INFO] [TEST] Iter=1400, #tests=100, max=2.3125 avg=1.3769, min=0.3750, std=0.4353
MultiAgentWaterWorld: 2022-02-18 20:27:55,564 [INFO] Iter=1410, size=16, max=1.8281, avg=1.3633, min=0.8906, std=0.2422
MultiAgentWaterWorld: 2022-02-18 20:28:00,656 [INFO] Iter=1420, size=16, max=1.8594, avg=1.3652, min=0.9375, std=0.2447
MultiAgentWaterWorld: 2022-02-18 20:28:05,712 [INFO] Iter=1430, size=16, max=1.9062, avg=1.3975, min=0.7969, std=0.3326
MultiAgentWaterWorld: 2022-02-18 20:28:10,778 [INFO] Iter=1440, size=16, max=1.8438, avg=1.3359, min=1.0000, std=0.2781
MultiAgentWaterWorld: 2022-02-18 20:28:15,843 [INFO] Iter=1450, size=16, max=1.9219, avg=1.3193, min=0.7969, std=0.2989
MultiAgentWaterWorld: 2022-02-18 20:28:20,936 [INFO] Iter=1460, size=16, max=1.7031, avg=1.4121, min=0.6719, std=0.2409
MultiAgentWaterWorld: 2022-02-18 20:28:26,000 [INFO] Iter=1470, size=16, max=1.9531, avg=1.3408, min=0.4844, std=0.3469
MultiAgentWaterWorld: 2022-02-18 20:28:31,084 [INFO] Iter=1480, size=16, max=1.9062, avg=1.3848, min=1.0938, std=0.2038
MultiAgentWaterWorld: 2022-02-18 20:28:36,141 [INFO] Iter=1490, size=16, max=1.9219, avg=1.4434, min=0.9062, std=0.2804
MultiAgentWaterWorld: 2022-02-18 20:28:41,216 [INFO] Iter=1500, size=16, max=1.7031, avg=1.3125, min=0.7969, std=0.2335
MultiAgentWaterWorld: 2022-02-18 20:28:41,810 [INFO] [TEST] Iter=1500, #tests=100, max=2.8750 avg=1.4831, min=0.3125, std=0.4969
MultiAgentWaterWorld: 2022-02-18 20:28:46,890 [INFO] Iter=1510, size=16, max=1.6406, avg=1.3369, min=1.0312, std=0.1704
MultiAgentWaterWorld: 2022-02-18 20:28:51,983 [INFO] Iter=1520, size=16, max=1.7031, avg=1.4062, min=0.7969, std=0.2428
MultiAgentWaterWorld: 2022-02-18 20:28:57,049 [INFO] Iter=1530, size=16, max=1.7344, avg=1.3320, min=0.7031, std=0.2783
MultiAgentWaterWorld: 2022-02-18 20:29:02,143 [INFO] Iter=1540, size=16, max=1.7031, avg=1.3223, min=0.8594, std=0.2403
MultiAgentWaterWorld: 2022-02-18 20:29:07,219 [INFO] Iter=1550, size=16, max=1.6719, avg=1.2979, min=0.9688, std=0.2531
MultiAgentWaterWorld: 2022-02-18 20:29:12,298 [INFO] Iter=1560, size=16, max=1.7031, avg=1.2236, min=0.6406, std=0.2514
MultiAgentWaterWorld: 2022-02-18 20:29:17,392 [INFO] Iter=1570, size=16, max=1.6562, avg=1.2891, min=0.7656, std=0.2323
MultiAgentWaterWorld: 2022-02-18 20:29:22,484 [INFO] Iter=1580, size=16, max=1.9219, avg=1.4170, min=0.9531, std=0.3095
MultiAgentWaterWorld: 2022-02-18 20:29:27,568 [INFO] Iter=1590, size=16, max=1.7500, avg=1.3984, min=0.9531, std=0.2389
MultiAgentWaterWorld: 2022-02-18 20:29:32,661 [INFO] Iter=1600, size=16, max=2.0781, avg=1.4072, min=0.8906, std=0.3210
MultiAgentWaterWorld: 2022-02-18 20:29:33,255 [INFO] [TEST] Iter=1600, #tests=100, max=2.5000 avg=1.2131, min=0.1250, std=0.4774
MultiAgentWaterWorld: 2022-02-18 20:29:38,334 [INFO] Iter=1610, size=16, max=1.8125, avg=1.4111, min=1.0625, std=0.2010
MultiAgentWaterWorld: 2022-02-18 20:29:43,412 [INFO] Iter=1620, size=16, max=1.7344, avg=1.2998, min=0.7812, std=0.2382
